"idx","latitude","longitude","elevation","x","y","z","xf","yf","distkm","distkmTotal","distkmTotalFixed","pct"
128,65.536634,-19.904695,79.9,2480722.84821891,-898239.057552589,5799124.05782078,2480691.73736193,-898227.792696108,4.95150125336755,294.326654877885,301.744181520871,0.222197482710509
129,65.521785,-19.858013,85,2482869.32927215,-896728.795813462,5798444.74301029,2482836.20400494,-896716.832082379,2.71104039887207,297.037695276757,304.523544696683,0.22424414189741
130,65.524381,-19.796473,122.7,2483598.55124254,-893977.800595809,5798598.65715529,2483550.72018409,-893960.583681099,2.85016296616272,299.88785824292,307.445536562431,0.226395829574691
131,65.510434,-19.75551,289.7,2485630.55942859,-892702.420313277,5798107.92863738,2485517.53879902,-892661.829490486,2.44876838666644,302.336626629586,309.956018030293,0.228244490449406
132,65.509146,-19.694088,420,2486759.69403922,-890099.399255752,5798167.13280555,2486595.76840389,-890040.724463055,2.83798673858321,305.174613368169,312.865526807051,0.230386985866753
133,65.518384,-19.674035,343.5,2486160.90020259,-888903.579431694,5798523.29475097,2486026.86312404,-888855.655727764,1.38397631546089,306.55858968363,314.284381652957,0.231431797977141
134,65.520176,-19.617881,299.9,2486843.04744748,-886399.579931951,5798566.18982646,2486725.99060796,-886357.856698357,2.59560750999221,309.154197193622,316.945402836978,0.23339131284019
135,65.515198,-19.58872,260,2487752.91034337,-885297.130319637,5798300.47821997,2487651.3894893,-885261.002888974,1.45390793891287,310.608105132535,318.435951700845,0.234488918778236
136,65.530261,-19.516418,224.9,2487417.5174493,-881642.967589778,5798962.53634785,2487329.71326589,-881611.846179606,3.72876851177082,314.336873644306,322.258691449414,0.237303896501778
137,65.548983,-19.48656,105,2486043.36990984,-879697.899269788,5799715.41456757,2486002.39828029,-879683.401269924,2.49767849079624,316.834552135102,324.819315638278,0.23918948132421
138,65.544165,-19.466325,77.4,2486802.93348571,-878978.570771059,5799468.51693523,2486772.72218313,-878967.892366591,1.07486220313413,317.909414338236,325.92126617642,0.240000932383226
139,65.546944,-19.441863,48.4,2486901.40652736,-877819.144856213,5799570.04081153,2486882.513871,-877812.476181931,1.16802075726899,319.077435095505,327.118723020918,0.240882712091987
140,65.553381,-19.445318,23.9,2486224.49398485,-877748.815201529,5799843.99077193,2486215.16726338,-877745.522450315,0.73362485735895,319.811059952864,327.870836458347,0.241436551147531
141,65.554047,-19.428592,20.1,2486415.56275766,-877000.04167687,5799871.178809,2486407.7183384,-876997.274819984,0.773245275789767,320.584305228654,328.663568815376,0.242020301042251
142,65.548446,-19.400257,20.1,2487383.7371618,-875958.62904399,5799613.41288455,2487375.88968803,-875955.865472668,1.44511079871449,322.029416027369,330.145098836319,0.243111265711575
143,65.550624,-19.342847,20.1,2488052.17347713,-873392.825171199,5799713.6541039,2488044.3238945,-873390.069694759,2.6533384486983,324.682754476067,332.865305875781,0.245114363678779
144,65.509157,-19.294556,44.2,2492757.89298131,-872685.510159861,5797825.651543,2492740.59912878,-872679.455783477,5.11943788390928,329.802192359976,338.113762203218,0.248979206335212
145,65.480189,-19.280427,39.9,2495737.91551923,-873037.968242268,5796485.6913857,2495722.28542675,-873032.500655268,3.286374027641,333.088566387617,341.482958382726,0.251460204994644
146,65.458474,-19.239678,60,2498440.05541962,-871989.366555785,5795501.47594567,2498416.52614767,-871981.154521682,3.0610138141697,336.149580201787,344.621114892418,0.25377107134935
147,65.436212,-19.177966,92.9,2501517.38003683,-870042.003458587,5794502.77849807,2501480.90419693,-870029.316953558,3.77618146066945,339.925761662456,348.492462475927,0.256621842765779
148,65.427693,-19.109409,120.3,2503381.44987317,-867333.972170328,5794133.84158687,2503334.18082561,-867317.595101313,3.30821768590826,343.233979348365,351.884052810623,0.259119331966586
149,65.427221,-19.075506,149,2503950.6197668,-865872.021974851,5794138.11671172,2503892.06068392,-865851.772106063,1.56884384773232,344.802823196097,353.492434161488,0.26030370704086
150,65.453088,-18.97974,229.9,2502952.26164532,-860845.712474637,5795407.23969357,2502861.94490366,-860814.649644947,5.2793161748198,350.082139370917,358.904797981618,0.264289247409144
151,65.461854,-18.919058,260,2503035.60445617,-857910.907319277,5795839.50998709,2502933.45994203,-857875.897472574,2.96763962278214,353.049778993699,361.947227113281,0.266529622322004
152,65.464396,-18.866841,363.5,2503613.77263055,-855560.134502028,5796051.05074807,2503470.93607659,-855511.322955035,2.43005365573211,355.479832649431,364.438522207519,0.268364154791987
